public_key,username
B62qpge4uMq4Vv5Rvc8Gw9qSquUYd6xoW1pz7HQkMSHm6h1o7pvLPAN,MinaExplorer
B62qiburnzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzmp7r7UN6X,Mina Burn Address
B62qjWrka3sHmyX9E3LLk7DYwTkD3xpVxJVWeC1jWesvUCw98jzwLEb,Mina Foundation
B62qr11GnajdtFtYHLB25VfR2HisWw9gQTtswLT9UDuBDupwxnP8Qtm,Mina Foundation
B62qog6J6WmV7EG35JYwCoMjXGQKfMzDf882feobdM4XSTvd4TM7o4x,Mina Foundation
B62qmQAFPta1Q3c7wXHxXRKnE3uWyBYZCLb8frdHEgavi3BbBVkpeC1,Mina Foundation
B62qkLCr6WNbmpwmV3zLUM99J46WGpEJLcBbQEbQen2oXV9MKU8f9mL,Mina Foundation
B62qo41tpoLx87ag5BcocFD8QV5jQB18qw8jnNqKGz9KDXna7PT3DLi,Mina Foundation
B62qjFozcCaaeMNaAWrRT21JUsSaq47PYW8DZdySviwath3Mg8nyfCw,Mina Foundation
B62qk8QpsgrR4d5NM9gxiiN2oiZSNznfeDbr1V5pFWa82nZy6iwKhfw,Mina Foundation
B62qnJ58vM1du7EkL83EPtjN8wt1MXKC93Sbe6icpRhfLVgDg6xnVgA,Mina Foundation
B62qoERQaxigi8r2cjyUuQXicjcPbGZfjRkeUn5sedzYisjTBNtEddh,Mina Foundation
B62qpBVRzjqFcbzMk3JAFdjruMAoqdHyHiE9XNyshZ5NjGo2gY7CxZz,Mina Foundation
B62qrr1TdC3LeN5F1Bgjxb1v4Pdxt6btzKL7sGTyLGNcydmagjsYsQi,Mina Foundation
B62qmanR1vreSJgKYZcHSiNrov8jvXShfcjioaBLpCGbr7vrt3DxZq9,Mina Foundation
B62qjCoLPn8iXHXq9ukNMhAfqn39o1MZKsAx3VrWFdu1pEbZZezJhJe,Mina Foundation
B62qkZvsPhMjgYTiXLLGXWaFUCFGAexpR3v2z5ymXKEuZGVhub5ebNk,Mina Foundation
B62qodbQJ5bnuY7j71eaYiiiq3XqYDgsBDJxkAhtzqBNpxAgskKdTc4,Mina Foundation
B62qm4UyivsseKABrgJxS4AnoK4SX8b69o4DWrR9cJ8HRYGrNq65iEG,Mina Foundation
B62qpcJd5eVzs6z4hs47nMQipXJdz3nEaEqbLStc8obzecfNPv5vAnV,Mina Foundation
B62qo8FPFHTQ2J5eaCK74yfsMRBFT5bnr2iPomWLv61iGpaufBop6Si,Mina Foundation
B62qpGX4AkMb93fusVyC7CDNju7FUP1fFVbspw8o4sN8xbmsiKxgy7f,Mina Foundation
B62qqLBQFF3oRGthJGnbZB9PEF8pvoxGcfBNUVtgXtH88VZE9KBoGKb,Mina Foundation
B62qnQ9R4djFcZtgUnEASzipJj4Liwdpt5WjM8qnQvWH9QZZMwPHRJc,Mina Foundation
B62qjyUJF51Rh87LkCzFUrWFBC2oSqL55dw1bHMkPov6oGpqiZxd2Xc,Mina Foundation
B62qq6YfopW3J9zaw9VEjQP8tehZVzewtH8LDrPST9FtLWnnWhnoKJ6,Mina Foundation
B62qojvcsxDKjfx2UKTfrsrQ4XYt3x9gpUfijNtTyNHjMyKigubEL1Y,Mina Foundation
B62qnem3qr442rQCJ1cmj8kLqk48Hpi1PEJwPXrMUNyiSymQQxSJspn,Mina Foundation
B62qo8yt9f1eQAv1kNUocT7jWKcHBTEcMxkSCmK5FSn9eKUfy6mZpQc,Mina Foundation
B62qmXBgmuA4Zo81V5Xmhmr5opdAbbddfyVxsdvJuQutceSHNQe2Scb,Mina Foundation
B62qjYCD9rCC9mqfqdAi929GRuZBmNfba2VomgfRVtZQzPa14YguZd4,Mina Foundation
B62qmSLcBAgGJYa14CUyGdoZywpKuztSKWRJsnKFSxg3oeLAYaotLFv,Mina Foundation
B62qmmvXhqFc4KpY8o78Nx1N2gusT9zC7D4pairouAZHyJmutVqApJ6,Mina Foundation
B62qiWWh6F34fwbZiv5uGKg15vr4C3cxKDBxR4xypdgQErk4t6DBn9k,Mina Foundation
B62qqMhtDSFToxQLzPjZ27PVtSCZR9rgUrjUDcjytWSsDZtPFiQMrnK,Mina Foundation
B62qqUrqjmVerAGWSk1TByCBQxzH8u9PRnKnMu2YH7YbhyS9CzMnYRq,Mina Foundation
B62qmiBiazpFUcs4t2ccJ2vEzh6i4drnyLQfNV3dEfgZfKYYjAbu8tC,Mina Foundation
B62qjYKFSc4DJ1g1PGuyooe8BGXfQEiTUb4oLH1jhntZtQpz9aV7WY3,Mina Foundation
B62qp8no6FregychSQusyD56DkRrqvg9bhBF3R3BQckQzQoUY9piJ74,Mina Foundation
B62qnWqVhYZaSn9xHkpih2rkbZ45MV5Q3CktwGA9EVbZtrGGjSr83oj,Mina Foundation
B62qkeKupTi7525nWMQfWgJ7EhrxhyFdnhANKrjSo6LRCZJ28yHw1yv,Mina Foundation
B62qnNmzW5uoLMPEVhwfL5xW1jCALVRfP6CEm4wPbyuu5xxJEoxBbue,Mina Foundation
B62qkDGi9CVj8Gu7wA3Tm6R1eUa8ZxZSUeFoQUmAjqE1diaXYcN769S,Mina Foundation
B62qmij2xZg5ZLmMUy3Be1Av54misfGR16ywRJAsPhMvdUWpzhKfxD8,Mina Foundation
B62qrYfgf3JNvWRCrWWH7T64ForhkYTSRbu5QM51EFxD1Q6wF1wzFNU,Mina Foundation
B62qpKeaQG8uJxYGdMWkhfff75YrFwoxPwSzhxrWxUf7STrpQMMVrYB,Mina Foundation
B62qnBRYDxf1EG23jnJx1QAMvARTZgdJzYoAE5LoEUJbLiPsUzYfA98,Mina Foundation
B62qqkKscGbufYJ5qpk3GLWenaJCgK5TgiaRwozsH5BmdqXGbttGYSP,Mina Foundation
B62qrgWoTX6rBSPFyo8ffBuQzkkVN1yWi4LD4a1u2EH3bXJY1bTd3Vy,Mina Foundation
B62qoHY9jb2WaBK1t4HgboN7vCq71X1aBGfdaiQdryuyDSfsgCDtd5A,Mina Foundation
B62qrxjaEqDqq1VQXc9xPXU4DiJM4nBMYesWs7whmNyFrPr6Qo4GRzu,Mina Foundation
B62qmFMzdoZMdhvU8Rgvnk6cLieaAMYQbjNumWj9cCMuNVLmDXKta5d,Mina Foundation
B62qkCuaxdGJGKjPvYa6TEFqmBGc7p1CmLwAsYJuVA7iu3VTVZQDR4b,Mina Foundation
B62qkQJjJt3PL89vVXoHir7cCFPgpdJ1JCmhqHrfwjY7zpGYhtC2xHH,Mina Foundation
B62qmnPjiwSKnff1qMUuYcuixn12j251x5fKKaxPtWDajf8KgaQX6yU,Mina Foundation
B62qs1inqycyihVap9Ti1T4WrmqoZ2aqZ49z4peRYM1cC8Gk3brdHk7,Mina Foundation
B62qpJZYLwCjH5Hafi9YiCGGgVhuoq9j6A47MxJG3qzH3nzS3pZZcnn,Mina Foundation
B62qnKSBegBU5wkkYQfKEKPenEsEttY4EVSuizJNrZdsdrkk6xSmb3E,Mina Foundation
B62qoTdpaj649XnqLxGq8oY6j3pBQdujD7ftQpq58AqypTMcaZePfUL,Mina Foundation
B62qrxrrtdZGk1icXvsEes5DBxHuaoifF2MmutXzFPLjsuSPouUbcEu,Mina Foundation
B62qjyY3c1FNPLUir8MBoECUNAP3CiDFE52uc4LP8B5miWe441e1VPo,Mina Foundation
B62qqJXC6J5UXVNW321LiGtwFR2WTGULFwZzrDo874BYi7QGdrkpqFY,Mina Foundation
B62qmQQ84vg6V7NwizyZzsWk4z6P6GdXrpvN44h19TRL9dsa9xZ542H,Mina Foundation
B62qmPfMY7HNmuvGnQQ5kF1UoPy2ipNXAF4MtmZvLipAynggd6EWWBC,Mina Foundation
B62qpqgV3MoZEtfPiceJ7tH9ngz9o7a3EtkdFr2a9KnRkQGaxEuW4iU,Mina Foundation
B62qnysDggsacPKduRXXMzCgbU6ggCSGUywBhhrGX1c8W4nr5oSX1Jr,Mina Foundation
B62qpYG5JSiR88NHKPbceqDDs8MTnhmvzoDWbqbJUWEXGnuVjooaUPL,Mina Foundation
B62qrMCR9BPCLY2ZWMXH7ueNJM6ZCa7X5cW2NboAfpXqaiDadbSEoim,Mina Foundation
B62qn3jFiBMx57Tqw1EbfHPtVqaEntjZR1uihQ4jH7iQLBFS3hSPKC5,Mina Foundation
B62qnzTCuHo79TU9chKbcGLudHS3fU3NhLReJG34MhUVrFN6nA7Pjik,Mina Foundation
B62qrNpfSTjKyBiq9LEU8wNSHPu2YNPiv7sgS2yYhACKjeXWUmLvAJ2,Mina Foundation
